30Z,30Z,70Z,70Z,55R,55R,70R,70R
Flow,Head,Flow,Head,Flow,Head,Flow,Head
14.46951012,6.54888792,42.4292678,3.456388075,64.12575643,1.06040488,88.28519913,1.58000769
14.56429734,6.452035556,42.60409806,3.143615822,64.50075643,0.953033283,89.21879548,1.430307896
14.65396093,6.3604811,42.70899622,2.774912531,64.87575643,0.836896658,90.10093377,1.273905126
14.74362453,6.271244477,42.81389438,2.392962416,65.25075643,0.720760034,90.71107942,1.142452321
14.81894194,6.182934988,42.98872464,2.061791795,65.62575643,0.604623409,91.55646194,1.010254742
14.91936517,6.085585946,42.95375859,1.730621175,66.00075643,0.48410427,92.40709528,0.837892505
14.99468258,5.996581107,43.12858885,1.366333492,66.18825643,0.37892393,93.26560486,0.700242108
15.06641346,5.914877446,43.0936228,1.051721403,66.73200643,0.239998232,93.76180765,0.583871
15.13814433,5.833173785,43.26845306,0.703992251,67.03200643,0.125468529,94.42341136,0.45167342
15.2098752,5.747993373,43.26845306,0.380180978,,,95.27404471,0.301654437
15.28160608,5.655859457,,,,,96.06166818,0.14844356
15.35333695,5.561987166,,,,,,
15.41430819,5.465333474,,,,,,
15.4967987,5.374242584,,,,,,
15.56852957,5.280370292,,,,,,
15.60080846,5.191365453,,,,,,
15.67612588,5.094943544,,,,,,
15.74785676,4.98600533,,,,,,
15.83239671,4.8750804,,,,,,
15.88773196,4.763029665,,,,,,
15.96663592,4.655945718,,,,,,
15.99891481,4.564159478,,,,,,
16.07064569,4.465651518,,,,,,
16.14237656,4.339329546,,,,,,
16.21410743,4.204895154,,,,,,
16.28583831,4.065825093,,,,,,
16.35756918,3.940082579,,,,,,
16.39343462,3.840995161,,,,,,
16.42930005,3.743646118,,,,,,
16.46516549,3.651512203,,,,,,
16.50999729,3.552424784,,,,,,
16.55482908,3.44348657,,,,,,
16.61221378,3.329217336,,,,,,
16.64449267,3.222133389,,,,,,
16.68035811,3.129999474,,,,,,
16.71622355,3.02917368,,,,,,
16.75208899,2.930086261,,,,,,
16.78795442,2.83621397,,,,,,
16.82381986,2.728434673,,,,,,
16.83457949,2.618569325,,,,,,
16.88786528,2.478108563,,,,,,
16.91946102,2.328608247,,,,,,
16.96369506,2.211094046,,,,,,
16.97804124,2.081758889,,,,,,
17.02107976,1.954278,,,,,,
17.06411829,1.814744372,,,,,,
17.06411829,1.699316221,,,,,,
17.08563755,1.569981065,,,,,,
17.13584916,1.453162213,,,,,,
17.11970971,1.327303808,,,,,,
17.16454151,1.251974192,,,,,,
17.16454151,1.168532155,,,,,,
17.1717146,1.062375342,,,,,,
17.20040695,0.965721649,,,,,,
17.20040695,0.86721369,,,,,,
17.20040695,0.783771653,,,,,,
17.20758003,0.701905744,,,,,,
17.24344547,0.588146434,,,,,,
17.23627238,0.477817519,,,,,,
17.2542051,0.392057648,,,,,,
17.2542051,0.301662108,,,,,,
17.24344547,0.21404797,,,,,,
17.27213782,0.148685041,,,,,,
